date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:37	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Dec%202023%2011:35:36%20GMT	https://secretlia.xyz/robots.txt		(from )
12:35:40	3168/3168	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2019:54:11%20GMT	https://secretlia.xyz/	C:/Users/q/Desktop/lia/secretlia.xyz/index.html	(from )
12:35:40	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/q/Desktop/lia/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://secretlia.xyz/)
12:35:40	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%2264c93458-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/Users/q/Desktop/lia/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://secretlia.xyz/)
12:35:41	5252/5252	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Dec%202023%2016:36:04%20GMT	https://secretlia.xyz/css/style.css	C:/Users/q/Desktop/lia/secretlia.xyz/css/style.css	(from https://secretlia.xyz/)
12:35:42	907/907	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2029%20Nov%202023%2017:56:35%20GMT	https://secretlia.xyz/of.svg	C:/Users/q/Desktop/lia/secretlia.xyz/of.svg	(from https://secretlia.xyz/)
12:35:42	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-11abc%22	https://code.jquery.com/jquery-3.5.1.slim.min.js	C:/Users/q/Desktop/lia/code.jquery.com/jquery-3.5.1.slim.min.js	(from https://secretlia.xyz/)
12:35:42	18594/18594	---M-Z	200	added ('OK')	application/javascript	etag:W/%2248a2-jut79x6Kl4uCoaGYAV8U1z0upZI%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.9.2/dist/umd/popper.min.js	C:/Users/q/Desktop/lia/cdn.jsdelivr.net/npm/@popperjs/core@2.9.2/dist/umd/popper.min.js	(from https://secretlia.xyz/)
12:35:43	60044/60044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2202d223393e00c273efdcb1ade8f4f8b1%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/Users/q/Desktop/lia/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://secretlia.xyz/)
12:35:43	2860/2860	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Nov%202023%2017:56:55%20GMT	https://secretlia.xyz/js/script.js	C:/Users/q/Desktop/lia/secretlia.xyz/js/script.js	(from https://secretlia.xyz/)
12:35:48	106831/106831	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Nov%202023%2019:54:07%20GMT	https://secretlia.xyz/image.png	C:/Users/q/Desktop/lia/secretlia.xyz/image.png	(from https://secretlia.xyz/)
